country,origin,system,status,url,date_recorded
Russia,23px-Russia.svg,1 T-80BVM,destroyed,https://web.archive.org/web/20220224231142/https://i.postimg.cc/2y474krg/336.png,2022-02-24
Russia,23px-Soviet Union.svg,3 MT-LB,destroyed,https://web.archive.org/web/20220224231142/https://i.postimg.cc/0QPGdgX4/6658.png,2022-02-24
Russia,23px-Soviet Union.svg,3 MT-LB,captured,https://web.archive.org/web/20220224231142/https://i.postimg.cc/P5M1XV5z/58.png,2022-02-24
Russia,23px-Soviet Union.svg,3 MT-LB,captured,https://web.archive.org/web/20220224231142/https://i.postimg.cc/hjqg1p15/680.png,2022-02-24
Russia,23px-Soviet Union.svg,1 MT-LB with ZU-23 AA gun,destroyed,https://web.archive.org/web/20220224231142/https://postimg.cc/kVDPCNz0,2022-02-24
Russia,23px-Soviet Union.svg,1 9P149 Shturm-S ATGM carrier,destroyed,https://web.archive.org/web/20220224231142/https://i.postimg.cc/DwY6rjLd/659.png,2022-02-24
Russia,23px-Soviet Union.svg,1 BMP-2,captured,https://web.archive.org/web/20220224231142/https://i.postimg.cc/T1HJcX0f/776.png,2022-02-24
Russia,23px-Russia.svg,1 KamAZ-63968 Typhoon,captured,https://web.archive.org/web/20220224231142/https://i.postimg.cc/D0LLthjn/663.png,2022-02-24
Russia,23px-Russia.svg,2 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220224231142/https://i.postimg.cc/W1VpzFcv/5578.png,2022-02-24
Russia,23px-Russia.svg,2 GAZ Tigr-M,damaged,https://web.archive.org/web/20220224231142/https://i.postimg.cc/ZKDrDbck/85.png,2022-02-24
Russia,23px-Soviet Union.svg,1 IMR-2 combat engineering vehicle,destroyed,https://web.archive.org/web/20220224231142/https://i.postimg.cc/xdbysNZ7/5548.png,2022-02-24
Russia,23px-Soviet Union.svg,1 TMM-3 bridge layer,captured,https://web.archive.org/web/20220224231142/https://i.postimg.cc/FRhY7mzP/75.png,2022-02-24
Russia,23px-Russia.svg,1 KamAZ-5350 with EOV-3523 excavator,captured,https://web.archive.org/web/20220224231142/https://i.postimg.cc/bvhJB8xz/774.png,2022-02-24
