country,origin,system,status,url,date_recorded
Russia,23px-Soviet Union.svg,1 T-80BV,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/63bVWQwX/470.png,2022-02-25
Russia,23px-Russia.svg,1 T-80BVM,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/2y474krg/336.png,2022-02-25
Russia,23px-Soviet Union.svg,3 MT-LB,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/0QPGdgX4/6658.png,2022-02-25
Russia,23px-Soviet Union.svg,3 MT-LB,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/P5M1XV5z/58.png,2022-02-25
Russia,23px-Soviet Union.svg,3 MT-LB,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/hjqg1p15/680.png,2022-02-25
Russia,23px-Soviet Union.svg,1 MT-LB with ZU-23 AA gun,destroyed,https://web.archive.org/web/20220225233528/https://postimg.cc/kVDPCNz0,2022-02-25
Russia,23px-Soviet Union.svg,1 MT-LBu,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/pV5ZRVDR/5548.png  ,2022-02-25
Russia,23px-Soviet Union.svg,1 9P149 Shturm-S ATGM carrier,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/FKPZs7Ws/874.png,2022-02-25
Russia,23px-Russia.svg,1 R-149MA1 unified command and staff vehicle,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/hG5hhQJp/59.png,2022-02-25
Russia,23px-Soviet Union.svg,3 BMP-2,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/RCtc2sB0/554.png,2022-02-25
Russia,23px-Soviet Union.svg,3 BMP-2,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/T1HJcX0f/776.png,2022-02-25
Russia,23px-Soviet Union.svg,3 BMP-2,damaged,https://web.archive.org/web/20220225233528/https://i.postimg.cc/vBy9TRg0/77699.png,2022-02-25
Russia,23px-Soviet Union.svg,1 BMD-2,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/J4crJP7d/46.png,2022-02-25
Russia,23px-Russia.svg,1 KamAZ-63968 Typhoon,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/D0LLthjn/663.png,2022-02-25
Russia,23px-Russia.svg,4 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/W1VpzFcv/5578.png,2022-02-25
Russia,23px-Russia.svg,4 GAZ Tigr-M,damaged,https://web.archive.org/web/20220225233528/https://i.postimg.cc/ZKDrDbck/85.png,2022-02-25
Russia,23px-Russia.svg,4 GAZ Tigr-M,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/JzBRKYtc/5j.png,2022-02-25
Russia,23px-Russia.svg,4 GAZ Tigr-M,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/dVQxVhc7/58p.png,2022-02-25
Russia,23px-Italy.svg,1 Iveco LMV 'Rys',captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/C5gfTFhF/680o.png,2022-02-25
Russia,23px-Soviet Union.svg,1 IMR-2 combat engineering vehicle,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/xdbysNZ7/5548.png,2022-02-25
Russia,23px-Soviet Union.svg,1 TMM-3 bridge layer,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/FRhY7mzP/75.png,2022-02-25
Russia,23px-Russia.svg,1 KamAZ-5350 with EOV-3523 excavator,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/bvhJB8xz/774.png,2022-02-25
Russia,23px-Soviet Union.svg,1 120mm mortar,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/SKhJwYXP/4703.png,2022-02-25
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/prGV0k4f/Screenshot-8069.png,2022-02-25
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/05cN22jz/Screenshot-8075.png,2022-02-25
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,damaged,https://web.archive.org/web/20220225233528/https://i.postimg.cc/yYx8J43v/Screenshot-8073.png,2022-02-25
Russia,23px-Soviet Union.svg,4 152mm 2A65 Msta-B howitzer,captured,https://web.archive.org/web/20220225233528/https://postimg.cc/q6CYJkkd,2022-02-25
Russia,23px-Soviet Union.svg,4 122mm BM-21 'Grad',destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/8c0jfFn1/b6.png,2022-02-25
Russia,23px-Soviet Union.svg,4 122mm BM-21 'Grad',destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/B65zvHbK/b6.png,2022-02-25
Russia,23px-Soviet Union.svg,4 122mm BM-21 'Grad',captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/xCF0twG5/b6.png,2022-02-25
Russia,23px-Russia.svg,1 Tor-M2,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/5tS4wn32/578.png,2022-02-25
Russia,23px-Russia.svg,1 2K22M1 Tunguska,damaged,https://web.archive.org/web/20220225233528/https://i.postimg.cc/9MqLyHJZ/764.png,2022-02-25
Russia,23px-Russia.svg,1 Su-30SM,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/QNPryLw9/7699.png,2022-02-25
Russia,23px-Soviet Union.svg,1 Su-25 strike aircraft,destroyed,https://web.archive.org/web/20220225233528/https://tass.ru/armiya-i-opk/13840645,2022-02-25
Russia,23px-Soviet Union.svg,1 An-26 transport aircraft,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/R0ppMFNQ/448.png,2022-02-25
Russia,23px-Russia.svg,2 Ka-52 'Alligator',destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/PJGKCtCv/658.png,2022-02-25
Russia,23px-Russia.svg,2 Ka-52 'Alligator',damaged,https://web.archive.org/web/20220225233528/https://i.postimg.cc/kXX8gFLx/769.png,2022-02-25
Russia,23px-Soviet Union.svg,1 GAZ-66,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/ncy3jWxy/55488.png,2022-02-25
Russia,23px-Russia.svg,3 Ural-4320,damaged,https://web.archive.org/web/20220225233528/https://postimg.cc/kVDPCNz0,2022-02-25
Russia,23px-Russia.svg,3 Ural-4320,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/Z5GKzh1D/r1.png,2022-02-25
Russia,23px-Russia.svg,3 Ural-4320,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/pXL1Kn3v/5583.png,2022-02-25
Russia,23px-Russia.svg,9 KamAZ,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/K8dLcdtV/h0.png,2022-02-25
Russia,23px-Russia.svg,9 KamAZ,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/G2Ndj56v/Screenshot-8192.png,2022-02-25
Russia,23px-Russia.svg,9 KamAZ,destroyed,https://web.archive.org/web/20220225233528/https://i.postimg.cc/mhW4vFLD/Screenshot-8193.png,2022-02-25
Russia,23px-Russia.svg,9 KamAZ,damaged,https://web.archive.org/web/20220225233528/https://i.postimg.cc/kGnW3KWg/880.png,2022-02-25
Russia,23px-Russia.svg,9 KamAZ,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/YSQ2ps72/r2.png,2022-02-25
Russia,23px-Russia.svg,9 KamAZ,captured,https://web.archive.org/web/20220225233528/https://i.postimg.cc/gJ6f7NZ3/57.png,2022-02-25
