country,origin,system,status,url,date_recorded
Russia,23px-Soviet Union.svg,1 T-62 Obr. 1967,captured,https://web.archive.org/web/20230408223838/https://i.postimg.cc/yxw0SFD6/1001-T-62-Obr-1967-capt.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1544797070883684353,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/X72RXDmM/1024-t62m-destr-11-01-23.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1572672235726573568,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1581908407967092738,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/Gt0MW2m7/1010-t62m-destr.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1590474674999558145,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/fy6S2qj0/1010-2x-t62m-destr.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/764rWxdy/1019-t62m-destr-18-12-22.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/gkKRT9Sn/1014-t62m-destr-16-11-22.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://postimg.cc/WtMH9Zj4,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/cLQ5SJcX/1005-t62m-destr-08-01-23.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/Dy4Mx64V/1038-t62m-destr-07-01-23.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/N0DghMNG/1005-t62m-destr-27-01-23.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://i.postimg.cc/NFFTSxhD/1025-t62m-destr-20-03-23.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,destroyed,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1638590667323580425,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,damaged,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1590474674999558145,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,damaged,https://web.archive.org/web/20230408223838/https://i.postimg.cc/QC25V0xC/1004-3-destr-BMP-2-2-destr-Kam-AZ-6x6-4-damaged-T-62-M-09-03-23.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,abandoned,https://web.archive.org/web/20230408223838/https://twitter.com/Blue_Sauron/status/1572563299576975361,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,captured,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1570054722563997698,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,captured,https://web.archive.org/web/20230408223838/https://i.postimg.cc/pdNwMqJq/4500-t62m-capt.jpg,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,captured,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1577227267226599424,2023-04-08
Russia,23px-Soviet Union.svg,58 T-62M,captured,https://web.archive.org/web/20230408223838/https://twitter.com/UAWeapons/status/1577323803478265856,2023-04-08
