country,origin,system,status,url,date_recorded
Russia,23px-Soviet Union.svg,4 BTR-D,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/kgBKhrFT/884.png,2022-02-27
Russia,23px-Soviet Union.svg,4 BTR-D,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/bN80m24w/6688.png,2022-02-27
Russia,23px-Russia.svg,2 KamAZ-63968 Typhoon,captured,https://web.archive.org/web/20220227214345/https://postlmg.cc/sGfMhkCN,2022-02-27
Russia,23px-Russia.svg,2 KamAZ-63968 Typhoon,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/8c2xJRvB/570.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/W1VpzFcv/5578.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220227214345/https://postimg.cc/f3bh0QRp,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/RFjRh5VD/776d.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220227214345/https://postimg.cc/jnsX0hVw,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/26Q08q6c/m9.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/XYsxrSnW/Screenshot-8293.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,destroyed,https://web.archive.org/web/20220227214345/https://i.postimg.cc/pVGgCB1P/449.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,damaged,https://web.archive.org/web/20220227214345/https://i.postimg.cc/ZKDrDbck/85.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,abandoned,https://web.archive.org/web/20220227214345/https://postimg.cc/KKD3Shmf,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/JzBRKYtc/5j.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/dVQxVhc7/58p.png,2022-02-27
Russia,23px-Russia.svg,15 GAZ Tigr-M,captured,https://web.archive.org/web/20220227214345/https://i.postimg.cc/BbVkvq1j/450.png,2022-02-27
